antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_size,consequent_size,rule_size
"correct_after_help, no_hints, no_answer, no_explanation",few_wrongs,0.0898807579778517,0.14119911945190802,0.08261197625546865,0.9191286112187192,6.5094500219724925,1.0,0.06992089237332594,10.61934132070795,0.9299629669659669,0.5564298787957398,0.9058322009059094,0.7521014566062751,55,10,65
"correct_after_help, no_hints, no_answer",few_wrongs,0.09191250773942017,0.14119911945190802,0.08393451015962414,0.913200088040092,6.467463052070414,1.0,0.07095654500020132,9.894029396536295,0.9309453921400579,0.5626500352717357,0.8989289439194429,0.753820417933964,39,10,49
"correct_after_help, no_hints, no_answer","no_explanation, few_wrongs",0.09191250773942017,0.13953034193113292,0.08261197625546865,0.8988110354869293,6.441688761363099,1.0,0.06978739262283945,8.503591890771046,0.9302641126182393,0.5550728444968979,0.8824026349282706,0.7454414018103255,39,26,65
"correct_after_help, no_answer, no_explanation","no_hints, few_wrongs",0.09525239700759927,0.13715857315728855,0.08261197625546865,0.8672955101474017,6.3233051364045485,1.0,0.06954729339209476,6.501976141132179,0.9304858652617883,0.5514855213608622,0.8462006045094667,0.7348027407001997,45,20,65
"no_hints, few_wrongs","correct_after_help, no_answer, no_explanation",0.13715857315728855,0.09525239700759927,0.08261197625546865,0.6023099712529977,6.3233051364045485,1.0,0.06954729339209476,2.275007009461563,0.9756773724859364,0.5514855213608622,0.5604409147571484,0.7348027407001997,20,45,65
"correct_after_help, no_answer, no_explanation",few_wrongs,0.09525239700759927,0.14119911945190802,0.0848030369844593,0.8902981935215099,6.305267320202677,1.0,0.07135348240130272,7.828502630141117,0.9299858205108218,0.5592079609239515,0.872261651142605,0.7454450097722485,45,10,55
few_wrongs,"correct_after_help, no_answer, no_explanation",0.14119911945190802,0.09525239700759927,0.0848030369844593,0.600591826022987,6.305267320202677,1.0,0.07135348240130272,2.265220548652245,0.9797410097985679,0.5592079609239515,0.5585418821160804,0.7454450097722485,10,45,55
"correct_after_help, no_answer","no_hints, few_wrongs",0.09728434128805348,0.13715857315728855,0.08393451015962414,0.8627751295668309,6.290347804780903,1.0,0.07059112871800803,6.287791885822404,0.9316624458567988,0.5576732446135493,0.840961657421458,0.7373637361138472,29,20,49
"no_hints, few_wrongs","correct_after_help, no_answer",0.13715857315728855,0.09728434128805348,0.08393451015962414,0.6119523426608634,6.290347804780903,1.0,0.07059112871800803,2.3263010139061673,0.9747170828204974,0.5576732446135493,0.5701330163112178,0.7373637361138472,20,29,49
"correct_after_help, no_answer",few_wrongs,0.09728434128805348,0.14119911945190802,0.08612557088861479,0.8852973638748481,6.269850458779792,1.0,0.07238910756228274,7.487193926485315,0.9310867212198493,0.5652846135677397,0.8664386137425151,0.74762781786592,29,10,39
few_wrongs,"correct_after_help, no_answer",0.14119911945190802,0.09728434128805348,0.08612557088861479,0.6099582718569919,6.269850458779792,1.0,0.07238910756228274,2.3144079045331463,0.9786978354371345,0.5652846135677397,0.5679240474242521,0.74762781786592,10,29,39
"correct_after_help, no_answer","no_explanation, no_hints, few_wrongs",0.09728434128805348,0.1354899901553992,0.08261197625546865,0.8491806097639004,6.267478570113846,1.0,0.06943092181207579,5.732087952956561,0.9310198570766998,0.5501510425302604,0.8255435003428011,0.7294540669972086,29,36,65
"no_explanation, no_hints, few_wrongs","correct_after_help, no_answer",0.1354899901553992,0.09728434128805348,0.08261197625546865,0.6097275242305168,6.267478570113846,1.0,0.06943092181207579,2.313039516640525,0.9721648031651698,0.5501510425302604,0.5676684324648258,0.7294540669972086,36,29,65
"correct_after_help, no_answer","no_explanation, few_wrongs",0.09728434128805348,0.13953034193113292,0.0848030369844593,0.8717028440719177,6.247407065784719,1.0,0.07122891957999217,6.706849047777864,0.9304520036048363,0.5578719728718129,0.8508986868682659,0.7397388626125575,29,26,55
"no_explanation, few_wrongs","correct_after_help, no_answer",0.13953034193113292,0.09728434128805348,0.0848030369844593,0.6077748811531973,6.247407065784718,1.0,0.07122891957999217,2.301524342362514,0.9761338885778197,0.5578719728718129,0.5655053559096836,0.7397388626125575,26,29,55
answer_req,"correct_after_help, no_hints, no_explanation, numeric",0.115772972339998,0.1261044539183787,0.07970644765915,0.6884719813970993,5.459537391460525,1.0,0.06510696020370699,2.8051908460778314,0.9237834540757669,0.4914963722092879,0.6435180153969977,0.6602694264039217,10,53,63
"correct_after_help, no_hints, no_explanation, numeric",answer_req,0.1261044539183787,0.115772972339998,0.07970644765915,0.6320668714107442,5.459537391460525,1.0,0.06510696020370699,2.4032275404238304,0.9347047269681512,0.4914963722092879,0.5838929176786809,0.6602694264039217,53,10,63
answer_req,"correct_after_help, no_hints, numeric",0.115772972339998,0.12830251732725603,0.08038726375924475,0.6943525948626961,5.411839216619882,1.0,0.06553329996956422,2.851970826584172,0.9219577211600932,0.4910998534764582,0.649365277274695,0.660448653398473,10,37,47
"correct_after_help, no_hints, numeric",answer_req,0.12830251732725603,0.115772972339998,0.08038726375924475,0.62654471193425,5.411839216619882,1.0,0.06553329996956422,2.3676918118892085,0.9352096932871735,0.4910998534764582,0.5776477348198081,0.660448653398473,37,10,47
