support,itemset,itemset_size
0.986392341985386,low_help,1
0.9816036520445518,rare_hints,1
0.9782539998930445,low_help | rare_hints,2
0.9513352423271575,no_explanation,1
0.9447283086930522,low_help | no_explanation,2
0.9389284030083669,no_explanation | rare_hints,2
0.9374990884473463,low_help | no_explanation | rare_hints,3
0.7707943391364801,tries_before_help,1
0.762670581886598,low_help | tries_before_help,2
0.7589611702877589,rare_hints | tries_before_help,2
0.7573568376172257,low_help | rare_hints | tries_before_help,3
0.7343662642870686,no_explanation | tries_before_help,2
0.7301415215879976,low_help | no_explanation | tries_before_help,3
0.7260529040852144,no_explanation | rare_hints | tries_before_help,3
0.7254597871585323,low_help | no_explanation | rare_hints | tries_before_help,4
0.6515972833300112,unknown,1
0.6470127811836086,low_help | unknown,2
0.6450486890657436,rare_hints | unknown,2
0.6447424073740964,elementary | no_explanation,2
0.6447424073740964,elementary,1
0.6437554997010108,low_help | rare_hints | unknown,3
0.6428998556100597,elementary | low_help | no_explanation,3
0.6428998556100597,elementary | low_help,2
0.641762237898227,elementary | rare_hints,2
0.641762237898227,elementary | no_explanation | rare_hints,3
0.6408482544374383,no_explanation | unknown,2
0.6407947766817539,elementary | low_help | rare_hints,3
0.6407947766817539,elementary | low_help | no_explanation | rare_hints,4
0.6378048839775783,low_help | no_explanation | unknown,3
0.6356998050492725,no_explanation | rare_hints | unknown,3
0.6347809599743307,low_help | no_explanation | rare_hints | unknown,4
0.584516731245108,some_answer_req,1
0.5790425537086824,low_help | some_answer_req,2
0.5755664995891936,self_corrects,1
0.5753525885664559,rare_hints | some_answer_req,2
0.5746768241991707,low_help | rare_hints | some_answer_req,3
0.5687748246172695,low_help | self_corrects,2
0.566309986241632,rare_hints | self_corrects,2
0.5647056535710987,low_help | rare_hints | self_corrects,3
0.5646327293588017,no_explanation | some_answer_req,2
0.5620657970859485,low_help | no_explanation | some_answer_req,3
0.5580889967086872,no_explanation | rare_hints | some_answer_req,3
0.5580889967086872,low_help | no_explanation | rare_hints | some_answer_req,4
0.5487060813931441,elementary | unknown,2
0.5487060813931441,elementary | no_explanation | unknown,3
0.5473156597453487,elementary | low_help | no_explanation | unknown,4
0.5473156597453487,elementary | low_help | unknown,3
0.5466107256931446,elementary | no_explanation | rare_hints | unknown,4
0.5466107256931446,elementary | rare_hints | unknown,3
0.5457404967597341,elementary | low_help | no_explanation | rare_hints | unknown,5
0.5457404967597341,elementary | low_help | rare_hints | unknown,4
0.54543907668224,no_explanation | self_corrects,2
0.542361674923308,low_help | no_explanation | self_corrects,3
0.5395565235569514,no_explanation | rare_hints | self_corrects,3
0.5389245137170443,low_help | no_explanation | rare_hints | self_corrects,4
0.505836367790834,tries_before_help | unknown,2
0.5029728770546397,low_help | tries_before_help | unknown,3
0.5016651028474474,rare_hints | tries_before_help | unknown,3
0.5010476778499997,low_help | rare_hints | tries_before_help | unknown,4
0.497459806604989,no_explanation | tries_before_help | unknown,3
0.49573393358062745,elementary | no_explanation | tries_before_help,3
0.49573393358062745,elementary | tries_before_help,2
0.4955394690145022,low_help | no_explanation | tries_before_help | unknown,4
0.4947227178367762,elementary | low_help | no_explanation | tries_before_help,4
0.4947227178367762,elementary | low_help | tries_before_help,3
0.49412960091009417,no_explanation | rare_hints | tries_before_help | unknown,4
0.4941198776817879,elementary | rare_hints | tries_before_help,3
0.4941198776817879,elementary | no_explanation | rare_hints | tries_before_help,4
0.4937601182344562,low_help | no_explanation | rare_hints | tries_before_help | unknown,5
0.49375525662030306,elementary | low_help | no_explanation | rare_hints | tries_before_help,5
0.49375525662030306,elementary | low_help | rare_hints | tries_before_help,4
0.4864968666896783,self_corrects | tries_before_help,2
0.48205335135371646,low_help | self_corrects | tries_before_help,3
0.47992882596879816,rare_hints | self_corrects | tries_before_help,3
0.4790780434920002,low_help | rare_hints | self_corrects | tries_before_help,4
0.47671043739942537,some_answer_req | tries_before_help,2
0.4731079813119552,low_help | some_answer_req | tries_before_help,3
0.47052160258248943,rare_hints | some_answer_req | tries_before_help,3
0.47016184313515774,low_help | rare_hints | some_answer_req | tries_before_help,4
0.46238326049014794,no_explanation | self_corrects | tries_before_help,3
0.4617998667917722,no_explanation | some_answer_req | tries_before_help,3
0.46016636443632014,low_help | no_explanation | self_corrects | tries_before_help,4
0.4599232837286636,low_help | no_explanation | some_answer_req | tries_before_help,4
0.45794946838249234,no_explanation | rare_hints | self_corrects | tries_before_help,4
0.4576431866908451,low_help | no_explanation | rare_hints | self_corrects | tries_before_help,5
0.4572396727161352,low_help | no_explanation | rare_hints | some_answer_req | tries_before_help,5
0.4572396727161352,no_explanation | rare_hints | some_answer_req | tries_before_help,4
0.4244335004108064,no_self_correction,1
0.421341513809415,elementary | no_explanation | tries_before_help | unknown,4
0.421341513809415,elementary | tries_before_help | unknown,3
0.4206122716864453,elementary | low_help | tries_before_help | unknown,4
0.4206122716864453,elementary | low_help | no_explanation | tries_before_help | unknown,5
0.4202622354674199,elementary | rare_hints | tries_before_help | unknown,4
0.4202622354674199,elementary | no_explanation | rare_hints | tries_before_help | unknown,5
0.4199267840908538,elementary | low_help | rare_hints | tries_before_help | unknown,5
